id_pokedex	id_pokemon_region	region_number	national_index	alternative_name	name	id_pokedex_type_1	id_pokedex_type_2	id_generation
155	1	136	136	Flareon	Flareon	8		1
156	1	137	137	Porygon	Porygon	14		1
157	1	138	138	Omanyte	Omanyte	17	19	1
158	1	139	139	Omastar	Omastar	17	19	1
159	1	140	140	Kabuto	Kabuto	17	19	1
160	1	141	141	Kabutops	Kabutops	17	19	1
161	1	142	142	Aerodactyl	Aerodactyl	17	9	1
162	1	143	143	Snorlax	Snorlax	14		1
163	1	144	144	Articuno	Articuno	13	9	1
164	1	145	145	Zapdos	Zapdos	5	9	1
165	1	146	146	Moltres	Moltres	8	9	1
166	1	147	147	Dratini	Dratini	4		1
167	1	148	148	Dragonair	Dragonair	4		1
168	1	149	149	Dragonite	Dragonite	4	9	1
169	1	150	150	Mewtwo	Mewtwo	16		1
170	1	151	151	Mew	Mew	16		1
171	2	1	152	Chikorita	Chikorita	11		2
172	2	2	153	Bayleef	Bayleef	11		2
173	2	3	154	Meganium	Meganium	11		2
174	2	4	155	Cyndaquil	Cyndaquil	8		2
175	2	5	156	Quilava	Quilava	8		2
176	2	6	157	Typhlosion	Typhlosion	8		2
177	2	7	158	Totodile	Totodile	19		2
178	2	8	159	Croconaw	Croconaw	19		2
179	2	9	160	Feraligatr	Feraligatr	19		2
180	2	19	161	Sentret	Sentret	14		2
181	2	20	162	Furret	Furret	14		2
182	2	15	163	Hoothoot	Hoothoot	14	9	2
183	2	16	164	Noctowl	Noctowl	14	9	2
184	2	30	165	Ledyba	Ledyba	2	9	2
185	2	31	166	Ledian	Ledian	2	9	2
186	2	32	167	Spinarak	Spinarak	2	15	2
187	2	33	168	Ariados	Ariados	2	15	2
188	2	39	169	Crobat	Crobat	15	9	2
189	2	176	170	Chinchou	Chinchou	19	5	2
190	2	177	171	Lanturn	Lanturn	19	5	2
191	2	21	172	Pichu	Pichu	5		2
192	2	40	173	Cleffa	Cleffa	6		2
193	2	44	174	Igglybuff	Igglybuff	14	6	2
194	2	46	175	Togepi	Togepi	6		2
195	2	47	176	Togetic	Togetic	6	9	2
196	2	161	177	Natu	Natu	16	9	2
197	2	162	178	Xatu	Xatu	16	9	2
198	2	53	179	Mareep	Mareep	5		2
199	2	54	180	Flaaffy	Flaaffy	5		2
200	2	55	181	Ampharos	Ampharos	5		2
201	2	86	182	Bellossom	Bellossom	11		2
202	2	132	183	Marill	Marill	19	6	2
203	2	133	184	Azumarill	Azumarill	19	6	2
204	2	107	185	Sudowoodo	Sudowoodo	17		2
205	2	75	186	Politoed	Politoed	19		2
206	2	67	187	Hoppip	Hoppip	11	9	2
207	2	68	188	Skiploom	Skiploom	11	9	2
208	2	69	189	Jumpluff	Jumpluff	11	9	2
209	2	123	190	Aipom	Aipom	14		2
210	2	103	191	Sunkern	Sunkern	11		2
211	2	104	192	Sunflora	Sunflora	11		2
212	2	101	193	Yanma	Yanma	2	9	2
213	2	56	194	Wooper	Wooper	19	12	2
214	2	57	195	Quagsire	Quagsire	19	12	2
215	2	188	196	Espeon	Espeon	16		2
216	2	189	197	Umbreon	Umbreon	3		2
217	2	213	198	Murkrow	Murkrow	3	9	2
218	2	82	199	Slowking	Slowking	19	16	2
219	2	219	200	Misdreavus	Misdreavus	10	0	2
220	2	61	201	Unown	Unown	16	0	2
221	2	108	202	Wobbuffet	Wobbuffet	16	0	2
222	2	149	203	Girafarig	Girafarig	14	16	2
223	2	93	204	Pineco	Pineco	2	0	2
224	2	94	205	Forretress	Forretress	2	18	2
225	2	52	206	Dunsparce	Dunsparce	14	0	2
226	2	193	207	Gligar	Gligar	12	9	2
227	2	63	208	Steelix	Steelix	18	12	2
228	2	125	209	Snubbull	Snubbull	6	0	2
229	2	126	210	Granbull	Granbull	6	0	2
230	2	163	211	Qwilfish	Qwilfish	19	15	2
231	2	112	212	Scizor	Scizor	2	18	2
232	2	168	213	Shuckle	Shuckle	2	17	2
233	2	114	214	Heracross	Heracross	2	7	2
234	2	218	215	Sneasel	Sneasel	3	13	2
235	2	198	216	Teddiursa	Teddiursa	14	0	2
236	2	199	217	Ursaring	Ursaring	14	0	2
237	2	216	218	Slugma	Slugma	8	0	2
238	2	217	219	Magcargo	Magcargo	8	17	2
239	2	195	220	Swinub	Swinub	13	12	2
240	2	196	221	Piloswine	Piloswine	13	12	2
241	2	173	222	Corsola	Corsola	19	17	2
242	2	174	223	Remoraid	Remoraid	19		2
243	2	175	224	Octillery	Octillery	19		2
244	2	194	225	Delibird	Delibird	13	9	2
245	2	202	226	Mantine	Mantine	19	9	2
246	2	203	227	Skarmory	Skarmory	18	9	2
247	2	214	228	Houndour	Houndour	3	8	2
248	2	215	229	Houndoom	Houndoom	3	8	2
249	2	192	230	Kingdra	Kingdra	19	4	2
250	2	200	231	Phanpy	Phanpy	12		2
251	2	201	232	Donphan	Donphan	12		2
252	2	221	233	Porygon2	Porygon2	14		2
253	2	131	234	Stantler	Stantler	14		2
254	2	159	235	Smeargle	Smeargle	14		2
255	2	145	236	Tyrogue	Tyrogue	7		2
256	2	148	237	Hitmontop	Hitmontop	7		2
257	2	154	238	Smoochum	Smoochum	13	16	2
258	2	156	239	Elekid	Elekid	5		2
259	2	152	240	Magby	Magby	8		2
260	2	151	241	Miltank	Miltank	14		2
261	2	223	242	Blissey	Blissey	14		2
262	2	243	243	Raikou	Raikou	5		2
263	2	244	244	Entei	Entei	8		2
264	2	245	245	Suicune	Suicune	19		2
265	2	249	246	Larvitar	Larvitar	17	12	2
266	2	250	247	Pupitar	Pupitar	17	12	2
267	2	251	248	Tyranitar	Tyranitar	17	3	2
268	2	252	249	Lugia	Lugia	16	9	2
269	2	253	250	Ho-Oh	Ho-Oh	8	9	2
270	2	256	251	Celebi	Celebi	16	11	2
271	3	1	252	Treecko	Treecko	11		3
272	3	2	253	Grovyle	Grovyle	11		3
273	3	3	254	Sceptile	Sceptile	11		3
274	3	4	255	Torchic	Torchic	8		3
275	3	5	256	Combusken	Combusken	8	7	3
276	3	6	257	Blaziken	Blaziken	8	7	3
277	3	7	258	Mudkip	Mudkip	19		3
278	3	8	259	Marshtomp	Marshtomp	19	12	3
279	3	9	260	Swampert	Swampert	19	12	3
280	3	10	261	Poochyena	Poochyena	3		3
281	3	11	262	Mightyena	Mightyena	3		3
282	3	12	263	Zigzagoon	Zigzagoon	14		3
283	3	-1	263	Galarian Zigzagoon	Zigzagoon	3	14	3
284	3	13	264	Linoone	Linoone	14		3
285	3	-1	264	Galarian Linoone	Linoone	3	14	3
286	3	14	265	Wurmple	Wurmple	2		3
287	3	15	266	Silcoon	Silcoon	2		3
288	3	16	267	Beautifly	Beautifly	2	9	3
289	3	17	268	Cascoon	Cascoon	2		3
290	3	18	269	Dustox	Dustox	2	15	3
291	3	19	270	Lotad	Lotad	19	11	3
292	3	20	271	Lombre	Lombre	19	11	3
293	3	21	272	Ludicolo	Ludicolo	19	11	3
294	3	22	273	Seedot	Seedot	11		3
295	3	23	274	Nuzleaf	Nuzleaf	11	3	3
296	3	24	275	Shiftry	Shiftry	11	3	3
297	3	25	276	Taillow	Taillow	14	9	3
298	3	26	277	Swellow	Swellow	14	9	3
299	3	27	278	Wingull	Wingull	19	9	3
300	3	28	279	Pelipper	Pelipper	19	9	3
301	3	29	280	Ralts	Ralts	16	6	3
302	3	30	281	Kirlia	Kirlia	16	6	3
303	3	31	282	Gardevoir	Gardevoir	16	6	3
304	3	32	283	Surskit	Surskit	2	19	3
305	3	33	284	Masquerain	Masquerain	2	9	3
306	3	34	285	Shroomish	Shroomish	11		3
307	3	35	286	Breloom	Breloom	11	7	3
308	3	36	287	Slakoth	Slakoth	14		3
309	3	37	288	Vigoroth	Vigoroth	14		3
310	3	38	289	Slaking	Slaking	14		3
311	3	42	290	Nincada	Nincada	2	12	3
312	3	43	291	Ninjask	Ninjask	2	9	3
313	3	44	292	Shedinja	Shedinja	2	10	3
314	3	45	293	Whismur	Whismur	14		3
315	3	46	294	Loudred	Loudred	14		3
316	3	47	295	Exploud	Exploud	14		3
317	3	48	296	Makuhita	Makuhita	7		3
318	3	49	297	Hariyama	Hariyama	7		3
319	3	54	298	Azurill	Azurill	14	6	3
320	3	60	299	Nosepass	Nosepass	17		3
321	3	61	300	Skitty	Skitty	14		3
322	3	62	301	Delcatty	Delcatty	14		3
323	3	68	302	Sableye	Sableye	3	10	3
324	3	69	303	Mawile	Mawile	18	6	3
325	3	70	304	Aron	Aron	18	17	3
326	3	71	305	Lairon	Lairon	18	17	3
327	3	72	306	Aggron	Aggron	18	17	3
328	3	76	307	Meditite	Meditite	7	16	3
329	3	77	308	Medicham	Medicham	7	16	3
330	3	78	309	Electrike	Electrike	5		3
331	3	79	310	Manectric	Manectric	5		3
332	3	80	311	Plusle	Plusle	5		3
333	3	81	312	Minun	Minun	5		3
334	3	86	313	Volbeat	Volbeat	2		3
335	3	87	314	Illumise	Illumise	2		3
336	3	94	315	Roselia	Roselia	11	15	3
337	3	95	316	Gulpin	Gulpin	15		3
338	3	96	317	Swalot	Swalot	15		3
339	3	97	318	Carvanha	Carvanha	19	3	3
340	3	98	319	Sharpedo	Sharpedo	19	3	3
341	3	99	320	Wailmer	Wailmer	19		3
342	3	100	321	Wailord	Wailord	19		3
343	3	101	322	Numel	Numel	8	12	3
344	3	102	323	Camerupt	Camerupt	8	12	3
345	3	105	324	Torkoal	Torkoal	8		3
346	3	110	325	Spoink	Spoink	16		3
347	3	111	326	Grumpig	Grumpig	16		3
348	3	114	327	Spinda	Spinda	14		3
349	3	116	328	Trapinch	Trapinch	12		3
350	3	117	329	Vibrava	Vibrava	12	4	3
351	3	118	330	Flygon	Flygon	12	4	3
352	3	119	331	Cacnea	Cacnea	11		3
353	3	120	332	Cacturne	Cacturne	11	3	3
354	3	121	333	Swablu	Swablu	14	9	3
355	3	122	334	Altaria	Altaria	4	9	3
356	3	123	335	Zangoose	Zangoose	14		3
357	3	124	336	Seviper	Seviper	15		3
358	3	125	337	Lunatone	Lunatone	17	16	3
359	3	126	338	Solrock	Solrock	17	16	3
360	3	127	339	Barboach	Barboach	19	12	3
361	3	128	340	Whiscash	Whiscash	19	12	3
362	3	129	341	Corphish	Corphish	19		3
363	3	130	342	Crawdaunt	Crawdaunt	19	3	3
364	3	131	343	Baltoy	Baltoy	12	16	3
365	3	132	344	Claydol	Claydol	12	16	3
366	3	133	345	Lileep	Lileep	17	11	3
367	3	134	346	Cradily	Cradily	17	11	3
368	3	135	347	Anorith	Anorith	17	2	3
369	3	136	348	Armaldo	Armaldo	17	2	3
370	3	140	349	Feebas	Feebas	19		3
371	3	141	350	Milotic	Milotic	19		3
372	3	142	351	Castform	Castform	14		3
373	3	142	351	Castform (Sunny)	Castform	8		3
374	3	142	351	Castform (Rainy)	Castform	19		3
375	3	142	351	Castform (Snowy)	Castform	13		3
376	3	145	352	Kecleon	Kecleon	14		3
377	3	146	353	Shuppet	Shuppet	10		3
378	3	147	354	Banette	Banette	10		3
379	3	148	355	Duskull	Duskull	10		3
380	3	149	356	Dusclops	Dusclops	10		3
381	3	150	357	Tropius	Tropius	11	9	3
382	3	151	358	Chimecho	Chimecho	16		3
383	3	152	359	Absol	Absol	3		3
384	3	160	360	Wynaut	Wynaut	16		3
385	3	171	361	Snorunt	Snorunt	13		3
386	3	172	362	Glalie	Glalie	13		3
387	3	173	363	Spheal	Spheal	13	19	3
388	3	174	364	Sealeo	Sealeo	13	19	3
389	3	175	365	Walrein	Walrein	13	19	3
390	3	176	366	Clamperl	Clamperl	19		3
391	3	177	367	Huntail	Huntail	19		3
392	3	178	368	Gorebyss	Gorebyss	19		3
393	3	179	369	Relicanth	Relicanth	19	17	3
394	3	183	370	Luvdisc	Luvdisc	19		3
395	3	187	371	Bagon	Bagon	4		3
396	3	188	372	Shelgon	Shelgon	4		3
397	3	189	373	Salamence	Salamence	4	9	3
398	3	190	374	Beldum	Beldum	18	16	3
399	3	191	375	Metang	Metang	18	16	3
400	3	192	376	Metagross	Metagross	18	16	3
401	3	193	377	Regirock	Regirock	17		3
402	3	194	378	Regice	Regice	13		3
403	3	195	379	Registeel	Registeel	18		3
404	3	196	380	Latias	Latias	4	16	3
405	3	197	381	Latios	Latios	4	16	3
406	3	198	382	Kyogre	Kyogre	19		3
407	3	199	383	Groudon	Groudon	12		3
408	3	200	384	Rayquaza	Rayquaza	4	9	3
409	3	201	385	Jirachi	Jirachi	18	16	3
410	3	202	386	Deoxys (Normal)	Deoxys	16		3
411	3	202	386	Deoxys (Attack)	Deoxys	16		3
412	3	202	386	Deoxys (Defense)	Deoxys	16		3
413	3	202	386	Deoxys (Speed)	Deoxys	16		3
414	4	1	387	Turtwig	Turtwig	11		4
415	4	2	388	Grotle	Grotle	11		4
416	4	3	389	Torterra	Torterra	11	12	4
417	4	4	390	Chimchar	Chimchar	8		4
418	4	5	391	Monferno	Monferno	8	7	4
419	4	6	392	Infernape	Infernape	8	7	4
420	4	7	393	Piplup	Piplup	19		4
421	4	8	394	Prinplup	Prinplup	19		4
422	4	9	395	Empoleon	Empoleon	19	18	4
423	4	10	396	Starly	Starly	14	9	4
424	4	11	397	Staravia	Staravia	14	9	4
425	4	12	398	Staraptor	Staraptor	14	9	4
426	4	13	399	Bidoof	Bidoof	14		4
427	4	14	400	Bibarel	Bibarel	14	19	4
428	4	15	401	Kricketot	Kricketot	2		4
429	4	16	402	Kricketune	Kricketune	2		4
430	4	17	403	Shinx	Shinx	5		4
431	4	18	404	Luxio	Luxio	5		4
432	4	19	405	Luxray	Luxray	5		4
433	4	25	406	Budew	Budew	11	15	4
434	4	27	407	Roserade	Roserade	11	15	4
435	4	36	408	Cranidos	Cranidos	17		4
436	4	37	409	Rampardos	Rampardos	17		4
437	4	38	410	Shieldon	Shieldon	17	18	4
438	4	39	411	Bastiodon	Bastiodon	17	18	4
439	4	45	412	Burmy (Plant)	Burmy	2		4
440	4	45	412	Burmy (Sandy)	Burmy	2		4
441	4	45	412	Burmy (Trash)	Burmy	2		4
442	4	46	413	Wormadam (Plant)	Wormadam	2	11	4
443	4	46	413	Wormadam (Sandy)	Wormadam	2	12	4
444	4	46	413	Wormadam (Trash)	Wormadam	2	18	4
445	4	47	414	Mothim	Mothim	2	9	4
446	4	53	415	Combee	Combee	2	9	4
447	4	54	416	Vespiquen	Vespiquen	2	9	4
448	4	55	417	Pachirisu	Pachirisu	5		4
449	4	56	418	Buizel	Buizel	19		4
450	4	57	419	Floatzel	Floatzel	19		4
451	4	58	420	Cherubi	Cherubi	11		4
452	4	59	421	Cherrim	Cherrim	11		4
453	4	60	422	Shellos	Shellos	19		4
454	4	60	422	Shellos	Shellos	19		4
455	4	61	423	Gastrodon	Gastrodon	19	12	4
456	4	61	423	Gastrodon	Gastrodon	19	12	4
457	4	64	424	Ambipom	Ambipom	14		4
458	4	65	425	Drifloon	Drifloon	10	9	4
459	4	66	426	Drifblim	Drifblim	10	9	4
460	4	67	427	Buneary	Buneary	14		4
461	4	68	428	Lopunny	Lopunny	14		4
462	4	73	429	Mismagius	Mismagius	10		4
463	4	75	430	Honchkrow	Honchkrow	3	9	4
464	4	76	431	Glameow	Glameow	14		4
465	4	77	432	Purugly	Purugly	14		4
466	4	82	433	Chingling	Chingling	16		4
467	4	84	434	Stunky	Stunky	15	3	4
468	4	85	435	Skuntank	Skuntank	15	3	4
469	4	88	436	Bronzor	Bronzor	18	16	4
470	4	89	437	Bronzong	Bronzong	18	16	4
471	4	92	438	Bonsly	Bonsly	17		4
472	4	94	439	Mime Jr.	Mime Jr.	16	6	4
473	4	96	440	Happiny	Happiny	14		4
474	4	102	441	Chatot	Chatot	14	9	4
475	4	108	442	Spiritomb	Spiritomb	10	3	4
476	4	109	443	Gible	Gible	4	12	4
477	4	110	444	Gabite	Gabite	4	12	4
478	4	111	445	Garchomp	Garchomp	4	12	4
479	4	112	446	Munchlax	Munchlax	14		4
480	4	115	447	Riolu	Riolu	7		4
481	4	116	448	Lucario	Lucario	7	18	4
482	4	122	449	Hippopotas	Hippopotas	12		4
483	4	123	450	Hippowdon	Hippowdon	12		4
484	4	127	451	Skorupi	Skorupi	15	2	4
485	4	128	452	Drapion	Drapion	15	3	4
486	4	129	453	Croagunk	Croagunk	15	7	4
487	4	130	454	Toxicroak	Toxicroak	15	7	4
488	4	131	455	Carnivine	Carnivine	11		4
489	4	134	456	Finneon	Finneon	19		4
490	4	135	457	Lumineon	Lumineon	19		4
491	4	140	458	Mantyke	Mantyke	19	9	4
492	4	142	459	Snover	Snover	11	13	4
493	4	143	460	Abomasnow	Abomasnow	11	13	4
494	4	145	461	Weavile	Weavile	3	13	4
495	4	180	462	Magnezone	Magnezone	5	18	4
496	4	162	463	Lickilicky	Lickilicky	14		4
497	4	188	464	Rhyperior	Rhyperior	12	17	4
498	4	182	465	Tangrowth	Tangrowth	11		4
499	4	199	466	Electivire	Electivire	5		4
500	4	202	467	Magmortar	Magmortar	8		4
501	4	175	468	Togekiss	Togekiss	6	9	4
502	4	184	469	Yanmega	Yanmega	2	9	4
503	4	169	470	Leafeon	Leafeon	11		4
504	4	170	471	Glaceon	Glaceon	13		4
505	4	154	472	Gliscor	Gliscor	12	9	4
506	4	205	473	Mamoswine	Mamoswine	13	12	4
507	4	194	474	Porygon-Z	Porygon-Z	14		4
508	4	160	475	Gallade	Gallade	16	7	4
509	4	156	476	Probopass	Probopass	17	18	4
510	4	191	477	Dusknoir	Dusknoir	10		4
511	4	208	478	Froslass	Froslass	13	10	4
512	4	152	479	Rotom	Rotom	5	10	4
513	4	152	479	Rotom (Heat)	Rotom	5	8	4
514	4	152	479	Rotom (Wash)	Rotom	5	19	4
515	4	152	479	Rotom (Frost)	Rotom	5	13	4
516	4	152	479	Rotom (Fan)	Rotom	5	9	4
517	4	152	479	Rotom (Mow)	Rotom	5	11	4
518	4	146	480	Uxie	Uxie	16		4
519	4	147	481	Mesprit	Mesprit	16		4
520	4	148	482	Azelf	Azelf	16		4
521	4	149	483	Dialga	Dialga	18	4	4
522	4	150	484	Palkia	Palkia	19	4	4
523	4	-1	485	Heatran	Heatran	8	18	4
524	4	-1	486	Regigigas	Regigigas	14		4
525	4	210	487	Giratina	Giratina	10	4	4
526	4	210	487	Giratina	Giratina	10	4	4
527	4	-1	488	Cresselia	Cresselia	16		4
528	4	-1	489	Phione	Phione	19		4
529	4	151	490	Manaphy	Manaphy	19		4
530	4	-1	491	Darkrai	Darkrai	3		4
531	4	-1	492	Shaymin (Land)	Shaymin	11		4
532	4	-1	492	Shaymin (Sky)	Shaymin	11	9	4
533	4	-1	493	Arceus	Arceus	14		4
534	5	0	494	Victini	Victini	16	8	5
535	5	1	495	Snivy	Snivy	11		5
536	5	2	496	Servine	Servine	11		5
537	5	3	497	Serperior	Serperior	11		5
538	5	4	498	Tepig	Tepig	8		5
539	5	5	499	Pignite	Pignite	8	7	5
540	5	6	500	Emboar	Emboar	8	7	5
541	5	7	501	Oshawott	Oshawott	19		5
542	5	8	502	Dewott	Dewott	19		5
543	5	9	503	Samurott	Samurott	19		5
544	5	10	504	Patrat	Patrat	14		5
545	5	11	505	Watchog	Watchog	14		5
546	5	12	506	Lillipup	Lillipup	14		5
547	5	13	507	Herdier	Herdier	14		5
548	5	14	508	Stoutland	Stoutland	14		5
549	5	15	509	Purrloin	Purrloin	3		5
550	5	16	510	Liepard	Liepard	3		5
551	5	17	511	Pansage	Pansage	11		5
552	5	18	512	Simisage	Simisage	11		5
553	5	19	513	Pansear	Pansear	8		5
554	5	20	514	Simisear	Simisear	8		5
555	5	21	515	Panpour	Panpour	19		5
556	5	22	516	Simipour	Simipour	19		5
557	5	23	517	Munna	Munna	16		5
558	5	24	518	Musharna	Musharna	16		5
559	5	25	519	Pidove	Pidove	14	9	5
560	5	26	520	Tranquill	Tranquill	14	9	5
561	5	27	521	Unfezant (Male)	Unfezant	14	9	5
562	5	27	521	Unfezant (Female)	Unfezant	14	9	5
563	5	28	522	Blitzle	Blitzle	5		5
