id_attack	name	type_1	type_2	type_3	type_4	type_5	value	text
117	Agility	4	10	10			20	Flip a coin. If heads during your opponent's next turn prevent all effects of attacks including damage done to Raichu.
118	Agility	4	10	10			20	Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Raichu.
119	Agility	4	4	10			20	Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Pikachu.
120	Agility	4	4	10			40	Flip a coin. If heads, prevent all effects of an attack, including damage, done to Jolteon Star during your opponent's next turn.
121	Agility	8	10	10			20	Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Skarmory.
122	Agility	5	10	10			30	Flip a coin. If heads, prevent all effects of an attack, including damage, done to Grovyle during your opponent's next turn.
123	Agility	6	10	10			20	Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Seadra.
124	Agility	6	6	10			30	Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Kingdra.
125	Agility	10					20	Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.
126	Agility	3					10	Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.
127	Agility	10					10	Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.
128	Agility	6					30	Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.
129	Agility	10	10				20	Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.
130	Agility	2	2				60	Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.
131	Agility	7					10	Flip a coin. If heads, prevent all effects of attacks, including damage, done to this Pokémon during your opponent's next turn.
132	Agility	10					10	Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to this Pokémon.
133	Agility	3	3				20	Flip a coin. If heads, during your opponent's next turn, prevent all effects of attacks, including damage, done to Ledyba.
134	Aimed Cut	5	10	10			40+	Does 40 damage plus 10 more damage for each damage counter on the Defending Pokémon.
135	Air Crash	10	10	10			30	Flip a coin. If heads, discard an Energy card attached to the Defending Pokémon.
136	Air Crash	8					20	Flip a coin. If heads, discard an Energy attached to the Defending Pokémon.
137	Air Cutter	10	10	10				Flip a coin. If tails, this attack does nothing.
138	Air Cutter	10	10	10			80	Flip a coin. If tails, this attack does nothing.
139	Air Cutter	5					30	Flip a coin. If tails, this attack does nothing.
140	Air Scroll	10	10	10			40+	Flip a coin. If heads, this attack does 40 damage plus 30 more damage. If tails, remove 3 damage counters from Togekiss.
141	Air Slash	10	10				30	Discard an Energy attached to this Pokémon.
142	Air Slash	10	10				40	Flip a coin. If tails, discard an Energy attached to Shaymin.
143	Air Slash	10	10				50	Discard an Energy attached to this Pokémon.
144	Air Slash	10	10	10			60	Discard an Energy attached to this Pokémon.
145	Air Slash	10	10	10			60	Flip a coin. If tails, discard an Energy attached to Fan Rotom.
146	Air Slash	10	10	10			80	Flip a coin. If tails, discard an Energy attached to this Pokémon.
147	Air Slash	3					20	Flip a coin. If tails, discard an Energy card attached to Yanma.
148	Air Slash	3	4	10			60	Flip a coin. If tails, discard an Energy card attached to Flygon.
149	Air Slash	5	7	10			120	Discard an Energy attached to this Pokémon.
150	Air Slash	6	10	10			70	Discard an Energy attached to this Pokémon.
151	Air Slash	5	7				50	Discard an Energy from this Pokémon.
152	Air Slash	10	10				30	Discard an Energy from this Pokémon.
153	Air Slash	10	10				50	Discard an Energy from this Pokémon.
154	Air Slash	10	10	10			100	Discard an Energy from this Pokémon.
155	Air Slash	10	10				40	Discard an Energy from this Pokémon.
156	Air Slash	10	10	10			120	Discard an Energy from this Pokémon.
157	Air Slash	10	10				70	Discard an Energy from this Pokémon.
158	Air Slash	10	10	10			150	Discard an Energy from this Pokémon.
159	Alert	10						Draw a card. Then, switch Brock's Zubat with 1 of your Benched Pokémon. You can't use this attack if your Bench is empty.
160	Alert	10						Draw a card. Then, you may switch Combee with 1 of your Benched Pokémon.
161	Alert Headbutt	10	10				90	If your opponent's Active Pokémon is a Pokémon-GX or Pokémon-EX, this attack's base damage is 30.
162	Algorithm-GX	10						Search your deck for up to 5 cards and put them into your hand. Then, shuffle your deck. (You can't use more than 1 GX attack in a game.)
163	All Out	9					30+	If you have no cards in your hand, this attack does 130 more damage.
164	All the Presents	10						Flip a coin until you get tails. For each heads, you may search your deck for a card and put it into your hand. Then, shuffle your deck.
165	All-out Blast	2	2	2	2		50+	Discard cards from the top of your deck until you have 1 card left. This attack does 50 damage plus 20 more damage for each Energy card you discarded in this way.
166	Allergic Explosion-GX	3					50	Your opponent's Active Pokémon is now Burned, Paralyzed, and Poisoned. (You can't use more than 1 GX attack in a game.)
167	Allergic Shock	3						During your next turn, if the Defending Pokémon is damaged by an attack, it is Knocked Out.
168	Allergy Explosion GX	3					50	Your opponent's Active Pokémon is now Burned, Paralyzed, and Poisoned. (You can't use more than 1 GX attack in a game.)
169	Allergy Explosion-GX	3					50	Your opponent's Active Pokémon is now Burned, Paralyzed, and Poisoned. (You can't use more than 1 GX attack in a game.)
170	Allotment	1					10	Draw a card.
171	Allure	10						Draw a card.
172	Allure	5						Draw 3 cards.
173	Allure	10						Draw 3 cards.
174	Allure	10						Draw 2 cards.
175	Alluring Kiss	10						Search your deck for a Basic Pokémon and a basic Energy card, show them to your opponent, and put them into your hand. Shuffle your deck afterward.
176	Alluring Smile	5						Search your deck for a Basic Pokémon card or Evolution card for each Energy attached to Wynaut, show them to your opponent, and put them into your hand. Shuffle your deck afterward.
177	Almost Flight	2	6				30	This Pokémon does 10 damage to itself.
178	Alolan Club	10	10				20×	This attack does 20 damage for each of your Pokémon in play that has Alolan in its name.
179	Altered Creation GX	8						For the rest of this game, your Pokémon's attacks do 30 more damage to your opponent's Active Pokémon (before applying Weakness and Resistance). If this Pokémon has at least 1 extra {W} Energy attached to it (in addition to this attack's cost), when your opponent's Active Pokémon is Knocked Out by damage from those attacks, take 1 more Prize card. (You can't use more than 1 GX attack in a game.)
180	Altered Creation-GX	8						For the rest of this game, your Pokémon's attacks do 30 more damage to your opponent's Active Pokémon (before applying Weakness and Resistance). If this Pokémon has at least 1 extra Water Energy attached to it (in addition to this attack's cost), when your opponent's Active Pokémon is Knocked Out by damage from those attacks, take 1 more Prize card. (You can't use more than 1 GX attack in a game.)
181	Amass	10						Search your deck for a basic Energy card and attach it to this Pokémon. Then, shuffle your deck.
182	Amazing Plea	10						Choose 2 cards from your discard pile. Then, ask your opponent if you may put them into your hand. If yes, put those cards into your hand. If no, this attack does 80 damage to your opponent's Active Pokémon.
183	Ambient Noise	10	10					Flip 2 coins. If the first coin is heads, this attack does 50 damage to the Defending Pokémon. If the first coin is tails, this attack does 20 damage to each of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.) If the second coin is heads, the Defending Pokémon is now Confused. If the second coin is tails, your opponent can't play any Trainer, Supporter, or Stadium cards from his or her hand during your opponent's next turn.
184	Ambush	10					10+	Flip a coin. If heads, this attack does 10 more damage.
185	Ambush	10	10				10+	Flip a coin. If heads, this attack does 10 damage plus 20 more damage.
186	Ambush	10	10				20+	Flip a coin. If heads, this attack does 20 damage plus 20 more damage.
187	Ambush	10	10				20+	Flip a coin. If heads, this attack does 20 more damage.
188	Ambush	10	10				20+	Flip a coin. If heads, this attack does 40 more damage.
189	Ambush	10	10	10			20+	Flip a coin. If heads, this attack does 20 damage plus 20 more damage; if tails, this attack does 20 damage.
190	Ambush	7					10+	Flip a coin. If heads, this attack does 10 more damage.
191	Ambush	7	10				10+	Flip a coin. If heads, this attack does 10 damage plus 20 more damage.
192	Ambush	7	10				20+	Flip a coin. If heads, this attack does 10 more damage.
193	Ambush	7	10	10			30+	Flip a coin. If heads, this attack does 30 damage plus 30 more damage.
194	Ambush	3	10				20+	Flip a coin. If heads, this attack does 20 damage plus 10 more damage.
195	Ambush	4	10				20+	Flip a coin. If heads, this attack does 20 more damage.
196	Ambush	5					10+	Flip a coin. If heads, this attack does 10 damage plus 10 more damage.
197	Ambush	5	10				40+	Flip a coin. If heads, this attack does 20 more damage.
198	Ambush	5	10	10			40+	Flip a coin. If heads, this attack does 40 damage plus 20 more damage.
199	Ambush	6	10	10			60+	Flip a coin. If heads, this attack does 30 more damage.
200	Ambush	10	10				40+	Flip a coin. If heads, this attack does 30 more damage.
201	Ambush	10	10	10			80+	Flip a coin. If heads, this attack does 40 more damage.
202	Ambush	10	10				20+	Flip a coin. If heads, this attack does 50 more damage.
203	Ambush	3					10+	Flip a coin. If heads, this attack does 10 more damage.
204	Ambush	5	10	10			30+	Flip a coin. If heads, this attack does 30 more damage.
205	Ambush	7					10+	Flip a coin. If heads, this attack does 20 more damage.
206	Ambush	3	3	10			50+	Flip a coin. If heads, this attack does 30 more damage.
207	Ambush	10					20	Flip a coin. If heads, this attack does 20 more damage.
208	Ambush Bite	3	10				20+	Flip a coin. If heads, this attack does 20 more damage and discard an Energy attached to the Defending Pokémon.
209	Amnesia	10						Choose 1 of the Defending Pokémon's attacks. That Pokémon can't use that attack during your opponent's next turn.
210	Amnesia	10					10	Choose 1 of the Defending Pokémon's attacks. That Pokémon can't use that attack during your opponent's next turn.
211	Amnesia	10					20	Choose 1 of the Defending Pokémon's attacks. That Pokémon can't use that attack during your opponent's next turn.
212	Amnesia	10					20	Choose 1 of your opponent's Active Pokémon's attacks. That Pokémon can't use that attack during your opponent's next turn.
213	Amnesia	10	10					Choose 1 of the Defending Pokémon's attacks. That Pokémon can't use that attack during your opponent's next turn.
214	Amnesia	10	10				20	Choose 1 of the Defending Pokémon's attacks. That Pokémon can't use that attack during your opponent's next turn.
215	Amnesia	10	10	10			40	Choose 1 of the Defending Pokémon's attacks. That Pokémon can't use that attack during your opponent's next turn.
216	Amnesia	10	10	10			50	Choose 1 of your opponent's Active Pokémon's attacks. That Pokémon can't use that attack during your opponent's next turn.
217	Amnesia	1	10				30	Choose 1 of the Defending Pokémon's attacks. That Pokémon can't use that attack during your opponent's next turn.
218	Amnesia	5						Choose 1 of the Defending Pokémon's attacks. That Pokémon can't use that attack during your opponent's next turn.
219	Amnesia	5	10				10	Choose 1 of the Defending Pokémon's attacks. That Pokémon can't use that attack during your opponent's next turn.
220	Amnesia	6						Choose 1 of the Defending Pokémon's attacks. That Pokémon can't use that attack during your opponent's next turn.
221	Amnesia	6	6					Choose 1 of defenders attacks. Defender cannot use that attack next turn.
222	Amnesia	6	6					Choose 1 of the Defending Pokémon's attacks. That Pokémon can't use that attack during your opponent's next turn.
223	Amnesia	6	6				30	Choose 1 of your opponent's Active Pokémon's attacks. That Pokémon can't use that attack during your opponent's next turn.
224	Amnesia	10					30	Choose 1 of your opponent's Active Pokémon's attacks. That Pokémon can't use that attack during your opponent's next turn.
225	Amnesia	6					20	Choose 1 of your opponent's Active Pokémon's attacks. That Pokémon can't use that attack during your opponent's next turn.
226	Amnesia	10	10	10			60	Choose 1 of your opponent's Active Pokémon's attacks. That Pokémon can't use that attack during your opponent's next turn.
227	Amping Up	4					30	During your next turn, this Pokémon's Amping Up attack does 90 more damage (before applying Weakness and Resistance).
228	Ancestral Memory	6						Flip a coin. If tails, this attack does nothing. Either way, you can't use this attack again as long as Giovanni's Magikarp stays in play (even putting Giovanni's Magikarp on the Bench won't let you use it again).
229	Anchor Anger	3					30+	If any of your Grass Pokémon were Knocked Out by damage from an opponent's attack during their last turn, this attack does 90 more damage.
230	Anchor Shot	5	10	10			70	The Defending Pokémon can't retreat during your opponent's next turn.
231	Ancient Blast	10	10				20+	This attack does 50 more damage for each Unidentified Fossil card in your discard pile.
232	Ancient Mantra	10	10				20+	If Claydol has any Psychic Energy attached to it, the Defending Pokémon is now Confused. If Claydol has any Fighting Energy attached to it, this attack does 20 damage plus 20 more damage.
233	Anger	1	10				20	Flip a coin. If heads this attack does 20 damage plus 20 more damage; if tails this attack does 20 damage.
234	Anger	1	10				20+	Flip a coin. If heads, this attack does 20 damage plus 20 more; if tails, this attack does 20 damage.
235	Anger Revenge	8	8	10			60	If Bastiodon was damaged by an attack during your opponent's last turn, this attack does 40 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
236	Anguish Cry	7					10+	This attack does 30 more damage for each damage counter on this Pokémon.
237	Antique Magic	10	10					Put 3 damage counters on any Pokémon (both yours and your opponent's) in any way you like.
238	Aqua Beam	4	10				20	If the Defending Pokémon has Team Magma's in its name, the Defending Pokémon is now Confused.
239	Aqua Blade	6	6	10			100	
240	Aqua Blast	6	10	10			50	Discard a Water Energy attached to Latios.
241	Aqua Blast	6	10				80	Discard a Water Energy from this Pokémon.
242	Aqua Bolt	4	10	10			60+	Does 60 damage plus 10 more damage for each Water Energy attached to Lanturn.
243	Aqua Bomb	6	10	10			120	This Pokémon does 30 damage to itself.
244	Aqua Boomerang	6					20	Return this Pokémon and all cards attached to it to your hand.
245	Aqua Bullet	6					20	This attack does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
246	Aqua Bullet	6	10				120	This attack also does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
247	Aqua Call	10						Search your deck for Pokémon that has Team Aqua in its name, show up to 3 of them to your opponent, and put them into your hand. Shuffle your deck afterward.
248	Aqua Crush	6	10				10	Flip a coin. If heads, discard an Energy card attached to the Defending Pokémon.
249	Aqua Edge	6	10	10			70	
250	Aqua Edge	3	10	10			70	
251	Aqua Flower	6	10				40	During your opponent's next turn, Bellossom has no Weakness.
252	Aqua Impact	7	10	10			60+	This attack does 20 more damage for each Colorless in your opponent's Active Pokémon's Retreat Cost.
253	Aqua Impact	1	10	10			80+	This attack does 20 more damage for each Colorless in your opponent's Active Pokémon's Retreat Cost.
254	Aqua Impact	6	10	10			10+	This attack does 50 more damage for each Colorless in your opponent's Active Pokémon's Retreat Cost.
255	Aqua Impact	6	6	6	10		80＋	This attack does 20 more damage for each Colorless in your opponent's Active Pokémon's Retreat Cost.
256	Aqua Jet	6	6	10			60	Flip a coin. If heads, this attack does 10 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
257	Aqua Jet	6	6	10			70	Flip a coin. If heads, this attack does 20 damage to 1 of your opponent's Benched Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
258	Aqua Liner							Choose 1 of your opponent's Benched Pokémon. This attack does 10 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
259	Aqua Liner	6	6					Choose 1 of your opponent's Benched Pokémon. This attack does 40 damage to that Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
260	Aqua Press	6	10				20+	Does 20 damage plus 10 more damage for each Water Energy attached to all Pokémon (both yours and your opponent's).
261	Aqua Pump	6					30+	You may discard up to 2 Water Energy cards from your hand. If you do, this attack does 30 damage plus 10 more damage for each Energy card you discarded.
262	Aqua Reflect	6	10				50	Move a Water Energy from this Pokémon to 1 of your Benched Pokémon.
263	Aqua Report	6	6	10			130	Your opponent reveals their hand.
264	Aqua Reverse	7	10				20	Before doing damage, you may choose 1 of your opponent's Benched Pokémon that has Team Magma in its name and switch it with 1 of the Defending Pokémon. Your opponent chooses which Defending Pokémon to switch.
265	Aqua Ring	6	10				40	Switch this Pokémon with 1 of your Benched Pokémon.
266	Aqua Ring	6	6				30	Switch Manaphy with 1 of your Benched Pokémon.
267	Aqua Ring	10					20	You may switch this Pokémon with 1 of your Benched Pokémon.
268	Aqua Shock	4					10+	If your opponent's Active Pokémon has any Water Energy attached to it, this attack does 30 more damage.
269	Aqua Shower	6						Does 10 damage to each of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
270	Aqua Shower	6						This attack does 10 damage to each of your opponent's Pokémon. (Don't apply Weakness and Resistance for Benched Pokémon.)
271	Aqua Slash	6	10				30	Mantine can't attack during your next turn.
272	Aqua Slash	6	6				40	Mantine can't attack during your next turn.
273	Aqua Slash	6	6	10			60	Team Aqua's Sharpedo can't attack during your next turn.
274	Aqua Slash	6	6				60	This Pokémon can't attack during your next turn.
275	Aqua Smash	6	6	10			50+	If the Defending Pokémon is affected by a Special Condition, this attack does 50 damage plus 20 more damage.
