id_card_rule	text
28	Attach this card to 1 of your Evolved Pokémon (excluding Pokémon-ex and Pokémon that has an owner in its name) in play. That Pokémon may use this card's attack instead of its own. At the end of your turn, discard Ancient Technical Machine (Rock).
29	Attach this card to 1 of your Evolved Pokémon (excluding Pokémon-ex and Pokémon that has an owner in its name) in play. That Pokémon may use this card's attack instead of its own. At the end of your turn, discard Ancient Technical Machine (Steel).
30	Attach this card to 1 of your Pokémon that has Team Aqua in its name. That Pokémon may use this card's attack instead of its own. At the end of your turn, discard Team Aqua Technical Machine 01.
31	This card stays in play when you play it. Discard this card if another Stadium card comes into play.
32	This card stays in play when you play it. Discard this card if another Stadium card comes into play. If another card with the same name is in play, you can't play this card.
33	This Stadium stays in play when you play it. Discard it is another Stadium comes into play. If a Stadium with the same name is in play, you can’t play this card.
34	You can play only one Supporter card each turn. When you play this card, put it next to your Active Pokemon. When your turn ends, discard it.
35	You can play only one Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, discard this card.
36	You can play only one Supporter card each turn. When you play this card, put it next to your Active Pokémon. When your turn ends, put this card into your hand instead of discarding it.
37	You may play any number of Item cards during your turn.
38	You may play as many Item cards as you like during your turn (before your attack).
39	You may play only 1 Supporter card during your turn (before your attack).
40	You may play only 1 Supporter card during your turn.
41	You may use this card only if you have more Prize cards left than your opponent.
42	Attach a Pokémon Tool to 1 of your Pokémon that doesn't already have a Pokémon Tool attached to it.
43	(Pokémon Tool Flare Rule) Attach this Pokémon Tool to 1 of your opponent's Pokémon-EX that doesn't already have a Pokémon Tool attached to it.
44	Attach a Pokémon Tool to 1 of your Pokémon that doesn't already have a Pokémon Tool attached.
45	You can’t have more than 1 ACE SPEC card in your deck.
46	You can't have more than 1 ◇ card with the same name in your deck. If a ◇ card would go to the discard pile, put it in the Lost Zone instead.
