id_trainer_card	card_name	card_number	card_number_special	id_rarity	id_trainer_type	id_trainer_category	id_set	card_text	id_artist	id_attack	id_action	hp	card_rule_1	ace_spec_rule_1	tool_rule_1	prism_rule_1	holofoil	promo	fixed	shining	secret	series_crossover	id_special_pokemon_type	full_art	gold_art	regular_art	id_special_pokemon
15	PlusPower	84		2	504	1	1	Attach PlusPower to your Active Pokémonn. At the end of your turn, discard PlusPower. If this Pokémon's attack does damage to the defending Pokémon (after applying Weakness and Resistance), the attack does 10 more damage to the Defending Pokémon.	3																		
16	Pokémon Center	85		2	520	1	1	Remove all damage counters from all of your own Pokémon with damage counters on them, then discard all Energy cards attached to those Pokémon.	3																		
17	Pokémon Flute	86		2	527	1	1	Choose 1 Basic Pokémon card from your opponent's discard pile and put it on his or her Bench. (You can't play Pokémon Flute if your opponent's Bench is full.)	3																		
18	Pokédex	87		2	512	1	1	Look at up to 5 cards from the top of your deck and rearrange them as you like.	3																		
19	Professor Oak	88		2	554	1	1	Discard your hand, then draw 7 cards.	1																		
20	Revive	89		2	589	1	1	Put 1 Basic Pokémon card from your discard pile onto your Bench. Put damage counters on that Pokémon equal to half its (rounded down to the nearest 10). (You can't play Revive if your Bench is full.)	3																		
21	Super Potion	90		2	674	1	1	Discard 1 Energy card attached to 1 of your own Pokémon in order to remove up to 4 damage counters from that Pokémon.	3																		
22	Bill	91		1	55	1	1	Draw 2 cards.	1																		
23	Energy Removal	92		1	189	1	1	Choose 1 Energy card attached to 1 of your opponent's Pokémon and discard it.	3																		
24	Gust of Wind	93		1	288	1	1	Choose 1 of your opponent's Benched Pokémon and switch it with his or her Active Pokémon.	3																		
25	Potion	94		1	539	1	1	Remove up to 2 damage counters from 1 of your Pokémon.	3																		
26	Switch	95		1	679	1	1	Switch 1 of your Benched Pokémon with your Active Pokémon.	3																		
27	Poké Ball	64		1	507	1	2	Flip a coin. If heads, you may search your deck for any Basic Pokémon or Evolution card. Show that card to your opponent, then put it into your hand. Shuffle your deck afterward.	3																		
28	Mr. Fuji	58		2	453	1	3	Choose a Pokémon on your Bench. Shuffle it and any cards attached to it into your deck.	1																		
29	Energy Search	59		1	196	1	3	Search your deck for a basic Energy card and put it into your hand. Shuffle your deck afterward.	3																		
30	Gambler	60		1	264	1	3	Shuffle your hand into your deck. Flip a coin. If heads, draw 8 cards. If tails, draw 1 card.	3																		
31	Recycle	61		1	575	1	3	Flip a coin. If heads, put a card in your discard pile on top of your deck.	3																		
32	Mysterious Fossil	62		1	460	1	3	Play Mysterious Fossil as if it were a Basic Pokémon. While in play, Mysterious Fossil counts as a Pokémon (instead of a Trainer card). Mysterious Fossil has no attacks, can't retreat, and can't be Asleep, Confused, Paralyzed, or Poisoned. If Mysterious Fossil is Knocked Out, it doesn't count as a Knocked Out Pokémon. (Discard it anyway.) At any time during your turn before your attack, you may discard Mysterious Fossil from play. (Major text change in Legend Maker. Requires reference.)	3			10															
33	Computer Search	101		3	119	1	4	Discard 2 other cards from your hand in order to search your deck for any card and put it into your hand. Shuffle your deck afterward.	3																		
34	Imposter Professor Oak	102		3	333	1	4	Your opponent shuffles his or her hand into his or her deck, then draws 7 cards.	1																		
35	Item Finder	103		3	341	1	4	Discard 2 other cards from your hand in order to put a Trainer card from your discard pile into your hand.	3																		
36	Lass	104		3	362	1	4	You and your opponent show each other your hands, then shuffle all the trainer cards from your hands into your decks.	1																		
37	Pokémon Breeder	105		3	517	1	4	Put a Stage 2 Evolution card from your hand on the matching Basic Pokémon. You can only play this card when you would be allowed to evolve that Pokémon anyway.	1																		
38	Pokémon Trader	106		3	537	1	4	Trade 1 of the Basic Pokémon or Evolution cards in your hand for 1 of the Basic Pokémon or Evolution cards from your deck. Show both cards to your opponent. Shuffle your deck afterward.	1																		
39	Scoop Up	107		3	623	1	4	Choose 1 of your own Pokémon in play and return its Basic Pokémon card to your hand. (Discard all cards attached to that card.)	3																		
40	Super Energy Removal	108		3	671	1	4	Discard 1 Energy card attached to 1 of your own Pokémon in order to choose 1 of your opponent's Pokémon and up to 2 Energy cards attached to it. Discard those energy cards.	3																		
41	Defender	109		2	149	1	4	Attach Defender to 1 of your Pokémon. At the end of your opponent's next turn, discard Defender. Damage done to that Pokémon by attacks is reduced by 20 (after applying Weakness and Resistance.)	3																		
42	Energy Retrieval	110		2	193	1	4	Trade 1 of other cards in your hand for up to 2 basic Energy cards from your discard pile.	3																		
43	Full Heal	111		2	259	1	4	Your Active Pokémon is no longer Asleep, Confused, Paralyzed, or Poisoned.	3																		
44	Maintenance	112		2	405	1	4	Shuffle 2 of the other cards from your hand into your deck in order to draw a card.	3																		
45	PlusPower	113		2	504	1	4	Attach PlusPower to your Active Pokémonn. At the end of your turn, discard PlusPower. If this Pokémon's attack does damage to the defending Pokémon (after applying Weakness and Resistance), the attack does 10 more damage to the Defending Pokémon.	3																		
46	Pokémon Center	114		2	520	1	4	Remove all damage counters from all of your own Pokémon with damage counters on them, then discard all Energy cards attached to those Pokémon.	3																		
47	Pokédex	115		2	512	1	4	Look at up to 5 cards from the top of your deck and rearrange them as you like.	3																		
48	Professor Oak	116		2	554	1	4	Discard your hand, then draw 7 cards.	1																		
49	Super Potion	117		2	674	1	4	Discard 1 Energy card attached to 1 of your own Pokémon in order to remove up to 4 damage counters from that Pokémon.	3																		
50	Bill	118		1	55	1	4	Draw 2 cards.	1																		
51	Energy Removal	119		1	189	1	4	Choose 1 Energy card attached to 1 of your opponent's Pokémon and discard it.	3																		
52	Gust of Wind	120		1	288	1	4	Choose 1 of your opponent's Benched Pokémon and switch it with his or her Active Pokémon.	3																		
53	Poké Ball	121		1	507	1	4	Flip a coin. If heads, you may search your deck for any Basic Pokémon or Evolution card. Show that card to your opponent, then put it into your hand. Shuffle your deck afterward.	3																		
54	Potion	122		1	539	1	4	Remove up to 2 damage counters from 1 of your Pokémon.	3																		
55	Switch	123		1	679	1	4	Switch 1 of your Benched Pokémon with your Active Pokémon.	3																		
56	Here Comes Team Rocket!	15		3	306	1	5	Each player plays with his or her Prize cards face up for the rest of the game.	1								1										
57	Rocket's Sneak Attack	16		3	599	1	5	Look at your opponent's hand. If he or she has any Trainer cards, choose 1 of them. Your opponent shuffles that card into his or her deck.	1								1										
58	Here Comes Team Rocket!	71		3	306	1	5	Each player plays with his or her Prize cards face up for the rest of the game.	1																		
59	Rocket's Sneak Attack	72		3	599	1	5	Look at your opponent's hand. If he or she has any Trainer cards, choose 1 of them. Your opponent shuffles that card into his or her deck.	1																		
60	The Boss's Way	73		2	722	1	5	Search your deck for an Evolution card with Dark in its name. Show it to your opponent and put it into your hand. Shuffle your deck afterward.	1																		
61	Challenge!	74		2	98	1	5	Ask your opponent if he or she accepts your challenge. If your opponent declines (or if both Benches are full), draw 2 cards. If your opponent accepts, each of you searches your decks for any number of Basic Pokémon cards and puts them face down onto your Benches. (A player can't do this if his or her Bench is full.) When you both have finished, shuffle your decks and turn those cards face up.	5																		
62	Digger	75		2	157	7	5	Flip a coin. If tails, do 10 damage to your Active Pokémon. If heads, your opponent flips a coin. If tails, your opponent does 10 damage to his or her Active Pokémon. If heads, you flip a coin. Keep doing this until a player gets tails.	8																		
63	Imposter Oak's Revenge	76		2	332	1	5	Discard a card from your hand in order to play this card. Your opponent shuffles his or her hand into his or her deck, then draws 4 cards.	1																		
64	Nightly Garbage Run	77		2	477	7	5	Choose up to 3 Basic Pokémon cards, Evolution cards, and/or basic Energy cards from your discard pile. Show them to your opponent and shuffle them into your deck.	8																		
65	Goop Gas Attack	78		1	282	1	5	All Pokémon Powers stop working until the end of your opponent's next turn.	8																		
66	Sleep!	79		1	649	7	5	Flip a coin. If heads, the Defending Pokémon is now Asleep.	8																		
67	Brock	15		3	73	1	6	Remove 1 damage counter from each of your Pokémon that has any damage counters on it.	1								1										
68	Erika	16		3	201	1	6	You may draw up to 3 cards, then your opponent may draw up to 3 cards.	1								1										
69	Lt. Surge	17		3	384	1	6	You can play this card only if you have at least 1 Basic Pokémon card in your hand. Put a Basic Pokémon card from your hand into play as your Active Pokémon. Put your old Active Pokémon onto your Bench. (You can't play this card if your Bench is full.)	1								1										
70	Misty	18		3	437	1	6	Discard 2 of the other cards in your hand in order to play this card. If this turn's attack does damage to the Defending Pokémon (after applying Weakness and Resistance), and if the attacking Pokémon has Misty in its name, the attack does 20 more damage to the Defending Pokémon.	1								1										
71	The Rocket's Trap	19		3	725	1	6	Flip a coin. If heads, choose up to 3 cards at random from your opponent's hand (don't look at them). Your opponent shuffles those cards into his or her deck.	1								1										
72	Blaine's Quiz #1	97		3	66	1	6	Put a Basic Pokémon or Evolution card from your hand face down in front of you and tell your opponent its name. Your opponent guesses the length of that Pokémon. Flip the card over. If your opponent guessed right, he or she draws 2 cards. If your opponent guessed wrong, you draw 2 cards. Either way, return the card to your hand.	1																		
73	Brock	98		3	73	1	6	Remove 1 damage counter from each of your Pokémon that has any damage counters on it.	1																		
74	Charity	99		3	104	1	6	Attach Charity to your Active Pokémon. Unless that Pokémon gets Knocked Out, return Charity to your hand at the end of your turn. If that Pokémon attacks and does damage to the Defending Pokémon, you may reduce that damage by any amount (rounded to the nearest 10).	1																		
75	Erika	100		3	201	1	6	You may draw up to 3 cards, then your opponent may draw up to 3 cards.	1																		
76	Lt. Surge	101		3	384	1	6	You can play this card only if you have at least 1 Basic Pokémon card in your hand. Put a Basic Pokémon card from your hand into play as your Active Pokémon. Put your old Active Pokémon onto your Bench. (You can't play this card if your Bench is full.)	1																		
77	Misty	102		3	437	1	6	Discard 2 of the other cards in your hand in order to play this card. If this turn's attack does damage to the Defending Pokémon (after applying Weakness and Resistance), and if the attacking Pokémon has Misty in its name, the attack does 20 more damage to the Defending Pokémon.	1																		
78	No Removal Gym	103		3	480	4	6	A player must discard 2 cards from his or her hand in order to play an Energy Removal or Super Energy Removal card.	3																		
79	The Rocket's Training Gym	104		3	724	4	6	Each player pays 1 more to retreat his or her Active Pokémon.	3																		
80	Blaine's Last Resort	105		2	64	1	6	You can't play this card if you have any cards in your hand other than Blaine's Last Resort. Show your hand to your opponent, then draw 5 cards.	1																		
81	Brock's Training Method	106		2	76	1	6	Search your deck for a Basic Pokémon or Evolution card with Brock in its name. Show that card to your opponent, then put it into your hand. Shuffle your deck afterward.	1																		
82	Celadon City Gym	107		2	94	4	6	During each player's turn, that player may choose to discard an Energy card attached to 1 of his or her Pokémon with Erika in its name. If that player does so, that Pokémon is no longer Asleep, Confused, Paralyzed or Poisoned.	3																		
83	Cerulean City Gym	108		2	96	4	6	Each player pays 1 less to retreat his or her Pokémon if it has Misty in its name.	3																		
84	Erika's Maids	109		2	204	1	6	Trade 2 of the other cards in your hand for up to 2 Basic Pokémon and/or Evolution cards with Erika in their names from your deck. Show those cards to your opponent, then put them into your hand. Shuffle your deck afterward.	1																		
85	Erika's Perfume	110		2	205	1	6	Look at your opponent's hand. If he or she has any Basic Pokémon cards there, you may put any number of them onto your opponent's Bench (as long as there's room).	1																		
86	Good Manners	111		2	280	1	6	In order to play this card, you can't have any Basic Pokémon cards in your hand. Show your hand to your opponent, then search your deck for a Basic Pokémon card, show it to your opponent, and put it into your hand. Shuffle your deck afterward.	1																		
87	Lt. Surge's Treaty	112		2	386	1	6	Your opponent chooses 1 of the following: everyone chooses 1 of his or her own Prizes and puts it into his or her hand, or you draw a card.	1																		
88	Minion of Team Rocket	113		2	430	1	6	Flip 2 coins. If both of them are heads, choose 1 of your opponent's Benched Pokémon and return it and all cards attached to it to his or her hand. If 1 or both of them are tails, your turn ends immediately (you can't attack this turn).	1																		
89	Misty's Wrath	114		2	442	1	6	Look at the top 7 cards of your deck. Choose 2 of those cards and put them into your hand. Discard the rest.	1																		
90	Pewter City Gym	115		2	498	4	6	Don't apply Resistance to any attacks made by Pokémon with Brock in their names.	3																		
91	Recall	116		2	574	1	6	For your attack this turn, your Active Pokémon can use any attack from its Basic Pokémon card or any Evolution card attached to it. (You still have to pay for that attack's Energy cost.)	8																		
92	Sabrina's ESP	117		2	612	1	6	Attach Sabrina's ESP to 1 of your Pokémon with Sabrina in its name. At the end of your turn, discard Sabrina's ESP. If that Pokémon uses an attack that involves flipping coins, Sabrina's ESP lets you re-flip those coins once. If you do, re-flip all the coins.	1																		
93	Secret Mission	118		2	629	1	6	Look at your opponent's hand. Then, you may discard as many other cards as you want from your hand and draw that many cards.	1																		
94	Tickling Machine	119		2	728	7	6	Flip a coin. If heads, your opponent sets aside all the cards in his or her hand face down. Nobody may look at those cards. At the end of your opponent's next turn, your opponent puts those cards back into his or her hand. If tails, your turn ends immediately (you can't attack this turn).	8																		
95	Vermilion City Gym	120		2	763	4	6	Whenever a player attacks with a Pokémon with Lt. Surge in its name, he or she may flip a coin. If heads, and if that Pokémon's attack does damage to the Defending Pokémon (after applying Weakness and Resistance), that attack does 10 more damage to the Defending Pokémon. If tails, the attacking Pokémon does 10 damage to itself in addition to whatever its attack usually does.	3																		
96	Blaine's Gamble	121		1	63	1	6	Discard any number of other cards from your hand, then flip a coin. If heads, draw twice that many cards.	1																		
97	Energy Flow	122		1	181	1	6	For each of your Pokémon, you may return any number of Energy cards attached to it to your hand.	3																		
98	Misty's Duel	123		1	439	1	6	You and your opponent play a game of Rock-Paper-Scissors. The winner shuffles his or her hand into his or her deck and draws a new hand of 5 cards. (If you don't know jow to play Rock-Paper-Scissors, flip a coin to decide who's the winner.)	1																		
99	Narrow Gym	124		1	470	4	6	No player may have more than 4 Pokémon on his or her Bench. When this card is played, if a player has 5 Pokémon on his or her Bench, that player chooses 1 of them and returns it and all cards attached to it to his or her hand. (If both players have to return a Pokémon, your opponent returns a Pokémon first.)	3																		
100	Sabrina's Gaze	125		1	613	1	6	Each player shuffles his or her hand into his or her deck and draws a new hand of the same number of cards.	1																		
101	Trash Exchange	126		1	741	1	6	Count the number of cards in your discard pile and shuffle them into your deck. Then discard that many cards from the top of your deck.	3																		
102	Blaine	17		3	62	1	7	During this turn, instead of attaching your free Energy card, you may instead attach 2 Energy cards to 1 of your Pokémon with Blaine in its name. (Playing additional copies of this card this turn has no effect.)	1								1										
103	Giovanni	18		3	272	1	7	Choose 1 of your Pokémon in play with Giovanni in its name. For the rest of your turn, you may evolve that Pokémon even if you just played or evolved it this turn or if this is your first turn. This effect also applies to the Pokémon it evolves into.	1								1										
104	Koga	19		3	352	1	7	If an attack from a Pokémon with Koga in its name does damage to a Defending Pokémon this turn, that Pokémon is then Poisoned.	1								1										
105	Sabrina	20		3	611	1	7	Take all Energy cards attached to 1 of your Pokémon with Sabrina in its name and attach them to another 1 of your Pokémon with Sabrina in its name.	1								1										
106	Blaine	100		3	62	1	7	During this turn, instead of attaching your free Energy card, you may instead attach 2 Energy cards to 1 of your Pokémon with Blaine in its name. (Playing additional copies of this card this turn has no effect.)	1																		
107	Brock's Protection	101		3	75	1	7	Attach Brock's Protection to 1 of your Pokémon with Brock in its name. Energy cards attached to that Pokémon can't be removed by your opponent's attacks or Trainer cards. (This doesn't stop the rest of the attack or Trainer card from working normally.)	1																		
108	Chaos Gym	102		3	102	1	7	Whenever a player plays a Trainer card other than a Stadium card, he or she flips a coin. If heads, that player plays that card normally. If tails, the player can't play that card. If the card isn't put into play, the player's opponent may use that card instead, if he or she does everything required in order to play that card (like discarding cards). Either way, the card goes to its owner's discard pile.	3																		
109	Erika's Kindness	103		3	203	1	7	Remove 2 damage counters from each Pokémon (yours and your opponent's) with any damage counters on it. If a Pokémon has just 1 damage counter, remove it.	1																		
110	Giovanni	104		3	272	1	7	Choose 1 of your Pokémon in play with Giovanni in its name. For the rest of your turn, you may evolve that Pokémon even if you just played or evolved it this turn or if this is your first turn. This effect also applies to the Pokémon it evolves into.	1																		
111	Giovanni's Last Resort	105		3	273	1	7	Remove all damage counters from 1 of your Pokémon with Giovanni in its name. Then discard your hand.	1																		
112	Koga	106		3	352	1	7	If an attack from a Pokémon with Koga in its name does damage to a Defending Pokémon this turn, that Pokémon is then Poisoned.	1																		
113	Lt. Surge's Secret Plan	107		3	385	1	7	Put 1 card from your hand face down onto your Bench. (You can't play this card if your Bench is full.) Treat that card as a Basic Pokémon as long as it's face down. Flip the card if either player ever needs to know what it is in order to use an attack, a Pokémon Power, or a Trainer card. Flip the card if it ever uses an attack or Pokémon Power, evolves, retreats, is damaged by an attack, or is otherwise affected by an attack. At any time during your turn, you may flip the card over. When you flip that card over, if it isn't a Basic Pokémon, discard it and all cards attached to it.	1																		
114	Misty's Wish	108		3	441	1	7	Look at 1 of your Prize cards. Then, ask your opponent if you may switch that card with 1 of the cards in your hand. If your opponent accepts and if you have any other cards in your hand, switch those cards. If your opponent declines, return the Prize card face down and draw a card.	1																		
115	Resistance Gym	109		3	584	1	7	Each Pokémon's Resistance is reduced by 20. (If a Pokémon's Resistance is ~30, it becomes -10.)	3																		
116	Sabrina	110		3	611	1	7	Take all Energy cards attached to 1 of your Pokémon with Sabrina in its name and attach them to another 1 of your Pokémon with Sabrina in its name.	1																		
117	Blaine's Quiz #2	111		2	67	1	7	Put a card from your hand face down in front of you. Your opponent guesses whether it is an Energy card, a Trainer card, or a Pokémon (Basic or Evolution) card. Flip the card over. If your opponent guessed right, he or she draws 2 cards. If your opponent guessed wrong, you draw 2 cards. Either way, return the card to your hand.	1																		
118	Blaine's Quiz #3	112		2	68	1	7	Put a Basic Pokémon or Evolution card from your hand face down in front of you and tell your opponent the name of an attack of that card. Your opponent guesses the name of that card. Flip the card over. If your opponent guessed right, he or she draws 3 cards. If your opponent guessed wrong, you draw 3 cards. Either way, return the card to your hand.	1																		
119	Cinnabar City Gym	113		2	111	4	7	Ignore Weakness when a Pokémon does damage to a Pokémon with Blaine in its name.	3																		
120	Fuchsia City Gym	114		2	257	4	7	Once during each player's turn (before attacking), that player may flip a coin. If heads, that player may shuffle 1 of his or her Pokémon in play with Koga in its name and any cards attached to it into his or her deck.	3																		
121	Koga's Ninja Trick	115		2	353	1	7	Attach Koga's Ninja Trick to your Active Pokémon with Koga in its name. If this Pokémon goes to your Bench, discard this card. When your opponent attacks, you may switch this Pokémon with 1 of your Benched Pokémon (before damage or other effects of attacks).	8																		
122	Master Ball	116		2	413	1	7	Look at 7 cards from the top of your deck. You may choose a Basic Pokémon or Evolution card from those cards, show it your opponent, then put it into your hand. Shuffle the rest into your deck.	3																		
123	Max Revive	117		2	417	1	7	Discard 2 Energy cards from your hand in order to put 1 Basic Pokémon from your discard pile onto your Bench. (You can't play Max Revive if your Bench is full.)	12																		
124	Misty's Tears	118		2	440	1	7	Discard 1 of the other cards in your hand in order to search your deck for up to 2 Energy cards. Show those cards to your opponent, then put them into your hand. Shuffle your deck afterward.	1																		
125	Rocket's Minefield Gym	119		2	595	4	7	Whenever a player puts a Basic Pokémon onto his or her Bench from his or her hand, he or she flips a coin. If tails, put 2 damage counters on that Pokémon.	3																		
126	Rocket's Secret Experiment	120		2	598	1	7	Flip a coin. If heads, search your deck for any card and put it into your hand. Shuffle your deck afterward. If tails, you can't play Trainer cards until the end of your next turn.	1																		
127	Sabrina's Psychic Control	121		2	614	1	7	Flip a coin. If heads, choose a Trainer card in your opponent's discard pile that isn't put in play (like PlusPower or Mysterious Fossil). You may use that card as if it were in your hand, if you do everything required in order to play that card (like discarding cards). The card stays in your opponent's discard pile.	1																		
128	Saffron City Gym	122		2	617	4	7	As often as each player likes during his or her turn (before attacking), that player may return 1 basic Energy card attached to 1 of his or her Pokémon with Sabrina in its name to his or her hand.	3																		
129	Viridian City Gym	123		2	768	4	7	Whenever a Pokémon with Giovanni in its name evolves, its owner removes 2 damage counters from that Pokémon (or 1 if it only has 1).	3																		
130	Fervor	124		1	227	1	7	Show the top 3 cards of your deck to all players. Put any Energy cards there into your hand and discard the rest.	1																		
131	Transparent Walls	125		1	740	1	7	Until the end of your opponent's next turn, prevent all damage from attacks done to your Benched Pokémon. (Any other effects of attacks still happen.)	3																		
132	Warp Point	126		1	776	1	7	If your opponent has any Benched Pokémon, he or she chooses 1 of them and switches it with his or her Active Pokémon, then, if you have any Benched Pokémon, you switch 1 of them with your Active Pokémon.	3																		
133	Fossil Egg	72		2	249	1	8	Flip a coin. If heads, either search your deck for a card that evolves from Mysterious Fossil and put it on your Bench or put a card that evolves from Mysterious Fossil from your hand onto your Bench. Either way, treat the new card as a Basic Pokémon. If you searched your deck, shuffle it. (You can't play this card if your Bench is full.)	14																		
134	Hyper Devolution Spray	73		2	327	1	8	Choose 1 of your Evolved Pokémon. Take the highest stage Evolution card from that Pokémon and put it into your hand. (You can't evolve a Pokémon the turn you devolve it.)	14																		
135	Ruin Wall	74		2	609	1	8	Search your deck for a card with Unown in its name and put it onto your Bench. Shuffle your deck afterward. (You can't play this card if your Bench is full.)	15																		
136	Energy Ark	75		1	178	1	8	Flip 2 coins. For each heads, search your deck for a Basic Energy card. Show that card to your opponent, then put it into your hand. Shuffle your deck afterward.	16																		
137	Arcade Game	83		3	28	8	8	Shuffle your deck, then reveal the top 3 cards of it. If at least 2 of those cards share the same name, put all of the ones with that name into your hand and shuffle the rest into your deck. If none of them do, shuffle all 3 into your deck.	14																		
138	Ecogym	84		3	170	4	8	Whenever an attack, Pokémon Power, or Trainer card discards another player's non- Energy card from a Pokémon, return that Energy card to its owner's hand. (Energy cards that are discarded when that Pokémon is Knocked Out don't count.)	29																		
139	Energy Charge	85		3	179	1	8	Flip a coin. If heads, shuffle up to 2 Energy cards from your discard pile into your deck.	3																		
140	Focus Band	86		3	245	9	8	If the Pokémon Focus Band is attached to would be Knocked Out by your opponent's attack, flip a coin. If heads, that Pokémon is not Knocked Out and its remaining HP become 10 instead. Then, discard Focus Band.	19																		
141	Mary	87		3	410	1	8	Draw 2 cards. Then, shuffle 2 cards from your hand into your deck.	1																		
142	PokéGear	88		3	515	1	8	Look at the top 7 cards of your deck. If any of them are Trainer cards, you may show 1 of them to your opponent and put it into your hand. Shuffle your deck afterward. You can't play any more Trainer cards this turn.	30																		
143	Super Energy Retrieval	89		3	673	1	8	Trade 2 of the other cards in your hand for 4 basic Energy cards from your discard pile. If you have fewer than 4 basic Energy cards there, take all of them.	3																		
144	Time Capsule	90		3	730	1	8	Your opponent may choose 5 Basic Pokémon, Evolution, and/or basic Energy cards in his or her discard pile. (If your opponent doesn't have that many, he or she chooses all or none of them.) If your opponent chooses any cards, he or she shuffles them into his or her deck. Either way, you may do the same, and you can't play any more Trainer cards this turn.	15																		
145	Bill's Teleporter	91		2	58	1	8	Flip a coin. If heads, draw 4 cards.	3																		
146	Card-Flip Game	92		2	90	8	8	Choose 1 of your opponent's face-down Prizes. Guess whether it is an Energy card, a Trainer card, or a Pokémon (Basic or Evolution) card. Flip the card face up (and leave it face up). If you guessed right, draw 2 cards.	14																		
147	Gold Berry	93		2	278	9	8	At any time between turns, if there are at least 4 damage counters on the Pokémon Gold Berry is attached to, you may remove 4 of them and discard Gold Berry. At the start of each turn, if there are at least 4 damage counters on the Pokémon Gold Berry is attached to, remove 4 of them and discard Gold Berry.	31																		
148	Miracle Berry	94		2	431	9	8	At any time between turns, if the Pokémon Miracle Berry is attached to is Asleep, Confused, Paralyzed, or Poisoned, you may remove all of those effects from that Pokémon and discard Miracle Berry. At the start of each turn, if the Pokémon Miracle Berry is attached to is Asleep, Confused, Paralyzed, or Poisoned, remove all of those effects from that Pokémon and discard Miracle Berry.	32																		
149	New Pokédex	95		2	473	1	8	Shuffle your deck. Then, look at up to 5 cards from the top of your deck and rearrange them as you like.	3																		
150	Professor Elm	96		2	549	1	8	Shuffle your hand into your deck. Then, draw 7 cards. You can't play any more Trainer cards this turn.	1																		
151	Sprout Tower	97		2	659	4	8	All damage done by Pokémon's attacks is reduced by 30 (after applying Weakness and Resistance).	33																		
152	Super Scoop Up	98		2	676	1	8	Flip a coin. If heads, return 1 of your Pokémon and all cards attached to it to your hand.	3																		
153	Berry	99		1	50	9	8	At any time between turns, if there are at least 2 damage counters on the Pokémon Berry is attached to, you may remove 2 of them and discard Berry. At the start of each turn, if there are at least 2 damage counters on the Pokémon Berry is attached to, remove 2 of them and discard Berry.	32																		
154	Double Gust	100		1	163	1	8	If you have any Benched Pokémon, your opponent chooses 1 of them and switches it with your Active Pokémon. Then, if your opponent has any Benched Pokémon, choose 1 of them and switch it with his or her Active Pokémon.	19																		
155	Moo-Moo Milk	101		1	445	1	8	Choose 1 of your Pokémon. Flip 2 coins. Remove 2 damage counters times the number of heads from that Pokémon. If the Pokémon has fewer damage counters than that, remove all of them.	19																		
156	Pokémon March	102		1	528	1	8	Your opponent may search his or her deck for 1 Basic Pokémon card and put it onto his or her Bench. Then, you may search your deck for 1 Basic Pokémon card and put it onto your Bench. Then, each player shuffles his or her deck. (A player can't do any of this if his or her Bench is full.)	19																		
157	Super Rod	103		1	675	1	8	Flip a coin. If heads, put an Evolution card from your discard pile, if any, into your hand. If tails, put a Basic Pokémon card from your discard pile, if any, into your hand.	3																		
158	Balloon Berry	60		2	37	9	10	When the Pokémon Balloon Berry is attached to retreats, discard Balloon Berry instead of discarding Energy cards.	3																		
